area,bedrooms,size_sqft,age_years,freehold,price_aed
Dubai Marina,0,562,13,1,664000
Mirdif,3,1961,8,0,1343000
Arabian Ranches,4,2670,13,1,3413000
JVC,4,2593,4,0,2557000
JVC,1,630,2,1,618000
Deira,2,1206,16,1,662000
Dubai Marina,2,1352,24,0,1383000
Arabian Ranches,1,548,21,1,541000
Downtown,1,730,14,1,1215000
Dubai Marina,1,780,1,1,1205000
Dubai Hills,4,2644,24,1,2760000
Al Barsha,3,1916,11,1,1716000
Mirdif,4,2654,7,1,1807000
Mirdif,4,2563,22,1,1519000
Mirdif,4,2712,18,0,1825000
Mirdif,0,350,18,1,205000
Dubai Hills,4,2560,6,1,3439000
JBR,0,,24,1,416000
Deira,2,1121,11,1,722000
JVC,2,1464,13,1,1194000
Dubai Hills,1,757,18,0,929000
Business Bay,0,350,16,0,383000
JBR,0,,4,1,532000
Al Barsha,4,2244,7,1,2274000
Mirdif,1,585,9,1,411000
Arabian Ranches,1,940,23,1,852000
JVC,4,2652,17,1,2159000
Deira,0,350,9,1,220000
Dubai Hills,4,2656,18,1,3280000
JVC,4,2413,18,1,1770000
JVC,2,1264,9,1,1069000
Downtown,0,402,10,1,669000
Dubai Marina,0,380,22,1,421000
Dubai Hills,1,745,14,1,991000
Deira,2,1341,3,0,950000
Dubai Marina,0,470,17,1,670000
Deira,2,1217,14,1,879000
Deira,0,498,12,1,287000
Downtown,2,1495,18,0,2239000
Arabian Ranches,0,350,22,1,306000
JBR,3,1843,8,0,2656000
Mirdif,0,550,10,0,368000
Mirdif,0,367,4,1,269000
Business Bay,0,558,16,1,564000
Dubai Marina,4,2547,10,1,3489000
Al Barsha,0,565,8,0,461000
JVC,2,1316,17,1,1115000
Deira,2,1331,10,0,760000
Arabian Ranches,2,,11,1,2076000
Mirdif,3,1907,11,1,1340000
Mirdif,4,2487,6,1,1950000
JBR,1,596,3,1,919000
Business Bay,4,2654,20,1,3129000
JVC,1,462,2,1,490000
JVC,4,2676,8,0,2353000
Dubai Marina,2,1235,16,0,1336000
Dubai Hills,3,2088,3,1,3009000
JBR,4,2313,16,1,3037000
Mirdif,3,1856,18,1,1365000
Arabian Ranches,4,2398,16,0,2579000
Al Barsha,2,1201,7,1,1164000
Mirdif,0,420,0,0,271000
Business Bay,2,1278,22,1,1183000
Al Barsha,0,360,8,1,361000
JVC,4,2581,20,1,2147000
Business Bay,1,674,4,1,954000
Al Barsha,1,529,4,0,439000
Business Bay,1,735,19,1,793000
Dubai Marina,3,2030,23,1,2503000
JVC,2,1346,21,0,830000
Mirdif,4,2667,18,0,1672000
JBR,2,1336,6,0,2154000
JVC,1,894,22,1,641000
JBR,0,380,16,1,467000
Arabian Ranches,0,353,4,0,409000
JVC,1,560,3,1,524000
Business Bay,4,2476,21,1,2498000
Downtown,2,,6,0,1938000
Dubai Hills,4,2493,19,1,2729000
Arabian Ranches,0,382,3,1,482000
Al Barsha,0,430,7,0,408000
JVC,4,2606,7,1,2323000
JBR,0,350,7,1,554000
Deira,0,498,16,1,298000
Arabian Ranches,2,1389,22,1,1136000
Mirdif,4,2581,22,1,1657000
Dubai Marina,3,1872,18,0,2201000
Business Bay,0,456,5,0,559000
Mirdif,4,2623,24,1,1689000
Deira,4,2426,13,1,1270000
JVC,4,2592,13,0,1750000
Deira,4,2631,17,1,1573000
Deira,1,542,19,1,307000
Business Bay,4,2623,23,1,2627000
Deira,1,475,14,1,280000
Downtown,4,2760,15,1,4755000
Downtown,2,1450,18,1,2437000
Arabian Ranches,3,1920,6,1,2429000
Arabian Ranches,3,1994,7,1,2347000
JBR,3,1661,15,1,2021000
Deira,3,1811,1,1,1396000
JBR,3,1915,8,1,3392000
Deira,3,1821,17,1,1120000
Dubai Marina,0,476,24,1,496000
Mirdif,4,2840,12,1,2152000
Mirdif,2,1159,9,1,928000
Mirdif,1,550,11,1,451000
Arabian Ranches,2,,17,0,1229000
JVC,4,2793,13,1,2309000
Mirdif,4,2453,0,0,2080000
Downtown,4,2630,13,0,4237000
Mirdif,2,1519,10,1,1022000
Dubai Hills,3,1752,17,1,2118000
JVC,1,496,21,0,369000
Dubai Hills,3,1899,24,1,2002000
Dubai Hills,3,1888,15,1,2316000
Dubai Marina,1,748,9,1,1029000
JBR,1,679,11,1,1176000
Downtown,0,350,4,1,617000
JBR,0,452,23,0,530000
JVC,2,1231,21,0,876000
Arabian Ranches,2,1453,21,1,1527000
Arabian Ranches,0,350,8,0,348000
JVC,2,1224,8,1,988000
Deira,3,2015,21,0,883000
Dubai Hills,1,742,13,1,923000
Dubai Marina,1,704,17,0,765000
Mirdif,1,448,12,0,297000
Dubai Hills,2,1365,11,1,1834000
Arabian Ranches,1,526,15,1,537000
Dubai Hills,3,1978,20,0,2144000
Dubai Hills,1,479,8,1,621000
Dubai Marina,2,1354,20,1,1708000
Dubai Hills,1,553,6,0,746000
Mirdif,0,350,10,1,244000
Business Bay,3,2036,22,1,2018000
Arabian Ranches,1,679,23,1,699000
Dubai Marina,1,576,23,1,677000
Business Bay,3,2124,7,0,2247000
JVC,4,2547,21,1,2000000
Al Barsha,3,1954,23,1,1357000
Downtown,4,2632,24,1,4161000
Downtown,4,2526,0,0,5193000
JVC,2,1357,18,1,1086000
Al Barsha,3,1886,24,0,1360000
Deira,1,601,19,0,319000
Dubai Marina,2,1464,5,0,2176000
Downtown,2,1175,19,0,1672000
Deira,4,2310,2,0,1608000
Dubai Marina,4,2793,12,0,3836000
Deira,2,1606,15,1,924000
Downtown,3,1901,11,0,2981000
Al Barsha,1,418,17,1,316000
Downtown,4,2563,6,1,4341000
JVC,2,1266,15,0,842000
Arabian Ranches,2,1277,16,0,1365000
JBR,3,1816,15,0,2898000
Dubai Hills,3,2020,7,1,3030000
Dubai Hills,0,453,7,1,531000
Mirdif,1,471,6,1,388000
Al Barsha,0,474,11,1,481000
Arabian Ranches,3,2196,14,1,2310000
JVC,0,411,9,1,369000
JVC,1,610,10,1,449000
JVC,2,1283,7,0,1140000
Deira,3,2024,5,1,1279000
Business Bay,2,1092,16,0,1165000
JBR,4,2620,20,1,3110000
Business Bay,4,2553,7,1,3331000
Dubai Marina,0,612,21,1,780000
JBR,4,2579,14,1,3590000
Dubai Marina,3,2150,4,0,2791000
Mirdif,3,1818,9,1,1127000
Mirdif,0,460,0,1,378000
Arabian Ranches,3,1988,0,0,2369000
JVC,3,1846,8,0,1389000
Mirdif,2,1321,11,1,998000
JBR,0,536,19,1,712000
Al Barsha,2,1261,3,1,1167000
Dubai Hills,4,2397,20,1,2559000
Al Barsha,3,1948,5,1,2087000
JBR,0,350,3,1,631000
JVC,4,2559,17,0,1915000
Arabian Ranches,4,2590,19,1,2754000
JVC,0,350,15,1,260000
JVC,4,2406,2,1,2348000
JBR,2,1358,2,0,2280000
Business Bay,2,1237,9,1,1450000
Downtown,2,992,11,0,1693000
Business Bay,3,2044,24,0,1774000
Arabian Ranches,4,2633,7,1,3295000
Arabian Ranches,3,1864,4,1,2432000
Arabian Ranches,4,2442,23,1,1779000
Business Bay,4,2700,3,1,3891000
Al Barsha,0,432,0,0,327000
Dubai Marina,1,936,10,1,1233000
Business Bay,3,2000,10,0,2476000
JBR,2,1347,15,1,1922000
Business Bay,0,370,21,1,333000
Al Barsha,0,488,23,1,339000
Business Bay,2,1375,7,1,1860000
Al Barsha,3,2100,24,1,1329000
JVC,0,350,15,1,312000
Arabian Ranches,0,350,1,1,452000
JVC,0,350,23,0,218000
Downtown,2,1395,3,1,2558000
Mirdif,0,570,14,0,349000
Al Barsha,2,1245,19,1,1079000
Downtown,2,1249,6,1,2448000
Mirdif,2,1338,6,1,900000
Downtown,3,1921,11,1,3219000
Mirdif,2,1414,22,1,814000
Mirdif,3,1680,5,1,1464000
JVC,3,1851,16,0,1267000
Mirdif,4,2506,11,1,2062000
Downtown,3,1672,2,1,3247000
Dubai Marina,2,,17,1,1346000
Dubai Marina,2,1190,20,1,1347000
JVC,1,626,14,1,486000
Al Barsha,2,1434,4,1,1287000
JBR,0,361,3,1,626000
JVC,4,2476,10,1,1960000
Mirdif,4,2593,12,0,1466000
Downtown,0,516,13,1,842000
Mirdif,3,1833,6,0,1165000
Business Bay,0,350,12,1,384000
Deira,3,2017,7,1,1259000
Dubai Hills,0,363,17,0,376000
Dubai Hills,2,1378,19,1,1814000
JBR,3,1948,16,0,2688000
JVC,3,2034,0,1,2069000
Deira,2,1176,24,1,528000
Dubai Marina,4,2599,0,0,3695000
Mirdif,3,1925,24,1,1171000
JVC,1,504,0,1,462000
Mirdif,3,1762,12,1,1359000
Arabian Ranches,3,2032,2,1,2353000
JVC,1,608,2,0,551000
Business Bay,3,1827,17,1,1892000
Arabian Ranches,4,2588,18,1,2698000
JBR,4,2735,2,0,4305000
Dubai Hills,3,1676,24,1,1716000
Dubai Marina,3,1770,8,0,2355000
Arabian Ranches,1,539,7,1,610000
Arabian Ranches,3,2125,7,1,2654000
Dubai Marina,1,684,11,0,908000
Mirdif,2,1392,4,1,1105000
JVC,1,513,10,1,435000
Mirdif,1,516,5,1,433000
Dubai Marina,0,444,1,0,646000
JBR,4,2607,9,0,3856000
JVC,0,456,16,1,371000
JBR,0,367,19,1,574000
Business Bay,4,2633,8,0,2763000
Arabian Ranches,2,1319,8,1,1661000
JBR,2,1393,19,1,1629000
Arabian Ranches,3,,17,1,2176000
JBR,1,456,20,1,697000
JBR,0,350,22,0,455000
Dubai Hills,3,2070,20,0,2233000
Mirdif,0,533,23,0,295000
JBR,2,1178,10,1,1855000
Downtown,4,2377,9,1,4145000
Al Barsha,4,2612,8,1,2323000
Al Barsha,1,762,5,1,735000
Dubai Hills,3,2166,18,1,2536000
JVC,3,2012,17,1,1499000
Business Bay,2,1255,20,1,1218000
Arabian Ranches,0,350,4,1,390000
Dubai Hills,1,651,12,0,805000
Downtown,3,1914,5,1,3746000
Dubai Marina,4,2478,22,1,2926000
JBR,0,636,6,0,1081000
Al Barsha,3,2164,3,0,2101000
JVC,4,,14,0,2230000
JVC,4,2489,21,1,1902000
